vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:27:57,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:27:58,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:27:59,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:00,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:01,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:02,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:03,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:04,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:05,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:06,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:07,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:08,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:09,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:10,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:11,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:12,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:13,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:14,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:15,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:16,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:17,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:18,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:19,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:20,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:21,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:22,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:23,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:24,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:25,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:26,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:27,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:28,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:29,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:30,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:31,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:32,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:33,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:34,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:35,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:36,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:37,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:38,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:39,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:40,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:41,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:42,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:43,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:44,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:45,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:46,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:47,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:48,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:49,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:50,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:51,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:52,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:53,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:54,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:55,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:56,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:57,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:58,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:28:59,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:00,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:01,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:02,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:03,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:04,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:05,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:06,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:07,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:08,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:09,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:10,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:11,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:12,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:13,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:14,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:15,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:16,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:17,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:18,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:19,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:20,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:21,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:22,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:24,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:25,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:26,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:27,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:28,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:29,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:30,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:31,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:32,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:33,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:34,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:35,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:36,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:37,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:38,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:39,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:40,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:41,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:42,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:43,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:44,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:45,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:46,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:48,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:49,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:50,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:51,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:52,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:53,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:54,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:55,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:56,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:57,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:58,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:29:59,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:00,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:01,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:02,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:03,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:04,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:05,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:06,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:07,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:08,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:09,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:10,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:11,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:12,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:13,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:14,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:15,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:16,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:17,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:18,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:19,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:20,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:21,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:22,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:23,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:24,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:25,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:26,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:27,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:28,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:29,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:31,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:32,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:34,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:35,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:36,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:37,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:38,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:39,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:40,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:41,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:42,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:43,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:44,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:45,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:46,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:47,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:48,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:49,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:50,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:51,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:52,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:53,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:54,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:55,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:56,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:57,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:58,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:30:59,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:00,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:01,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:02,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:03,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:04,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:05,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:06,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:07,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:08,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:09,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:10,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:11,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:12,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:13,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:14,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:15,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:16,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:17,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:18,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:19,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:20,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:21,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:22,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:23,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:24,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:25,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:26,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:27,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:28,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:29,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:30,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:31,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:32,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:33,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:35,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:36,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:37,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:39,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:40,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:41,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:42,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:44,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:45,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:46,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:47,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:48,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:49,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:50,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:51,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:52,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:53,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:54,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:55,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:56,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:57,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:58,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:31:59,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:00,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:01,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:02,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:03,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:04,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:05,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:06,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:07,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:08,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:09,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:10,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:11,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:12,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:13,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:14,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:15,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:16,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:17,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:18,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:19,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:20,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:21,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:22,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:23,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:24,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:25,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:26,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:27,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:29,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:30,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:31,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:32,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:33,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:34,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:35,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:36,0,837
AF00464,AAA8107464,0,116.906586,27.29093,1,0,0,0,0,2018-09-28 07:32:37,0,837
